# Netlist di prova 1 [OK]
#R1 10 1 2
#V1 10 1 3
#R2 20 2 3
#R3 30 2 4
#V2 20 4 3

# Errore
#V1 20 1 2

# Netlist di prova [OK]
R1 4.0 4 2
R2 10.0 1 2
V1 30.0 1 4
R3 30.0 1 3
R4 10.0 3 2
V2 40.0 3 5
R5 4.0 2 5

# Una sola maglia [OK]
#V1 30.0 1 4

#R1 4.0 1 2
#R2 10.0 2 3
#R3 12.0 3 4

# Circuito Gemini 1 [OK]
#V1 30.0 1 4

#R1 4.0 1 2
#R2 6.0 1 3
#R3 2.0 2 3
#R4 8.0 2 4
#R5 3.0 3 4 

# Circuito Gemini 2 [OK]
#V1 50.0 1 2
#V2 20.0 3 4

#R1 5.0 1 3
#R2 10.0 1 5
#R3 8.0 2 3
#R4 12.0 2 4
#R5 6.0 3 6
#R6 4.0 4 6
#R7 15.0 5 6

# Circuito Gemini 3 [OK]
#V1 24.0 1 2
#V2 12.0 3 4
#V3 36.0 5 6

#R1 10.0 1 3
#R2 5.0 2 3
#R3 15.0 1 5
#R4 20.0 2 6
#R5 8.0 3 7
#R6 12.0 4 7
#R7 6.0 5 7
#R8 4.0 6 7

# Circuito Gemini 4 [OK]
#V1 12.0 1 8
#V2 24.0 2 3
#V3 10.0 4 5
#V4 15.0 6 7
#V5 5.0 3 8

#R1 10.0 1 2
#R2 5.0 2 4
#R3 20.0 1 3
#R4 8.0 3 4
#R5 12.0 4 6
#R6 15.0 5 6
#R7 6.0 2 5
#R8 4.0 6 8
#R9 10.0 7 8
#R10 22.0 1 7
#R11 7.0 3 5
#R12 9.0 4 7
